Product Name,Product Url,Brand,Category,Date,Quantity Sold,Sale Price,Purchase Price,Supplier Name,Month
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2024-05-14,59,220.0,161.33761574999852,Supplier 43,2024-05
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2024-08-03,3,220.0,192.97220667872327,Supplier 32,2024-08
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2024-07-23,74,220.0,151.89426571474328,Supplier 29,2024-07
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2023-12-29,14,220.0,166.26944727500378,Supplier 6,2023-12
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2023-10-15,98,220.0,194.5415173786188,Supplier 19,2023-10
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2023-11-09,30,220.0,171.47188339941783,Supplier 49,2023-11
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2023-11-13,27,220.0,172.42294583572797,Supplier 46,2023-11
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2023-09-06,70,220.0,145.4160229814379,Supplier 3,2023-09
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2024-03-10,88,220.0,156.47041395991945,Supplier 31,2024-03
Arms Reach Versatile? Co-Sleeper Bassinet- Chevron,https://www.walmart.com/ip/Arm-s-Reach-Versatile-Co-Sleeper-Bassinet-Chevron/501820467,Arms Reach,"Baby | Nursery & Decor | Baby Bassinets, Cradles & Moses Baskets | Baby Bassinets",2024-03-22,28,220.0,164.8672904369001,Supplier 44,2024-03
