Supplier Name,Product Name,Purchase Price,Order Given Date,Order Received Date,Purchase Quantity,OnTime Delivery
Supplier 50,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2023-07-26,2023-08-10,10,0
Supplier 9,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2023-08-29,2023-09-04,74,1
Supplier 19,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2023-09-28,2023-10-08,181,0
Supplier 47,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2023-10-31,2023-11-08,553,0
Supplier 15,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2023-12-24,2024-01-06,123,1
Supplier 24,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-01-28,2024-02-02,245,1
Supplier 25,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-02-29,2024-03-07,46,1
Supplier 42,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-03-27,2024-04-03,163,1
Supplier 33,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-04-30,2024-05-10,201,0
Supplier 24,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-05-28,2024-06-08,115,0
Supplier 43,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-06-29,2024-07-08,104,0
Supplier 42,"(buy 3 get 1 free) Dove Men+Care Deodorant Stick Clean Comfort 3 oz, 4 count",12.923793686656872,2024-07-24,2024-08-10,113,0
Supplier 1,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-07-28,2023-08-01,115,1
Supplier 32,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-08-31,2023-09-03,252,1
Supplier 28,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-09-21,2023-10-05,417,1
Supplier 26,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-10-25,2023-11-09,6,0
Supplier 9,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-11-26,2023-12-08,184,0
Supplier 33,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2023-12-28,2024-01-10,181,0
Supplier 46,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-01-22,2024-02-03,110,1
Supplier 28,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-02-26,2024-03-07,292,1
Supplier 48,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-03-28,2024-04-07,65,1
Supplier 4,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-04-23,2024-05-03,383,1
Supplier 31,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-05-27,2024-06-04,41,1
Supplier 23,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-06-30,2024-07-08,83,0
Supplier 33,1 Safe Sea Sunscreen Jellyfish Sting Protection SPF50 Lice Lotion Prevent Sting,15.943881880340841,2024-07-26,2024-08-06,163,1
Supplier 26,12 in. Trike with Powder Coated Frame,132.2870834884195,2023-08-31,2023-09-02,39,1
Supplier 13,12 in. Trike with Powder Coated Frame,132.2870834884195,2023-09-24,2023-10-05,349,1
Supplier 4,12 in. Trike with Powder Coated Frame,132.2870834884195,2023-10-30,2023-11-05,70,1
Supplier 8,12 in. Trike with Powder Coated Frame,132.2870834884195,2023-11-28,2023-12-09,255,0
Supplier 6,12 in. Trike with Powder Coated Frame,132.2870834884195,2024-01-27,2024-02-09,57,0
Supplier 32,12 in. Trike with Powder Coated Frame,132.2870834884195,2024-04-28,2024-05-05,109,1
Supplier 1,12 in. Trike with Powder Coated Frame,132.2870834884195,2024-06-27,2024-07-05,184,1
Supplier 2,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2023-07-31,2023-08-02,104,1
Supplier 1,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2023-09-24,2023-10-06,83,1
Supplier 45,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2023-11-25,2023-12-02,126,1
Supplier 2,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-01-30,2024-02-06,21,1
Supplier 41,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-02-23,2024-03-05,273,1
Supplier 11,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-04-22,2024-05-05,1,1
Supplier 26,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-05-23,2024-06-03,228,1
Supplier 48,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-06-25,2024-07-06,70,1
Supplier 30,18Kg Flywheel Fitness Indoor Cycling Quiet Drive Indoor Exercise Bike with Adjustable Seat HFON,195.35039384988946,2024-07-26,2024-08-08,13,0
Supplier 16,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-07-27,2023-08-10,100,0
Supplier 43,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-08-28,2023-09-10,277,0
Supplier 30,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-09-22,2023-10-09,402,0
Supplier 26,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-10-22,2023-11-02,135,1
Supplier 35,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-11-24,2023-12-01,101,1
Supplier 22,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2023-12-24,2024-01-08,180,0
Supplier 16,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2024-01-29,2024-02-08,278,0
Supplier 14,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2024-03-24,2024-04-03,105,1
Supplier 43,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2024-04-30,2024-05-06,243,1
Supplier 14,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2024-05-25,2024-06-10,269,0
Supplier 28,"24x Jasmine Wonder Wafers Air Freshener for Auto, Truck, Car, Boat, Home, Office",7.311740766146776,2024-07-30,2024-08-08,46,0
